"","year","month","delay_carrier","delay_weather","delay_nas","delay_security","delay_late"
"123",2013,8,1852201,206418,1398283,7732,2647163
"124",2013,9,1288132,158422,1014977,5186,1729915
"125",2013,10,1293737,78051,932630,4585,1609252
"126",2013,11,1294123,109446,897294,25367,1619559
"127",2013,12,2391073,388682,1694349,8804,3450689
"128",2014,1,2384451,578051,1476657,5353,3243417
"129",2014,2,1762191,286760,1369808,4337,2394565
"130",2014,3,1723617,163780,1168846,3821,2292184
"131",2014,4,1489021,142051,1185096,4055,2058940
"132",2014,5,1772666,270690,1493938,6731,2549799
"133",2014,6,2174769,379880,1788826,6428,3405382
"134",2014,7,2100005,319170,1503200,5460,2937179
"135",2014,8,1832082,291580,1381727,7436,2553660
"136",2014,9,1333490,127408,1200983,6411,1693425
"137",2014,10,1427068,132092,1416315,4033,1989656
"138",2014,11,1393829,155442,1117363,4155,1846457
"139",2014,12,1866220,141765,1416790,7130,2519320
"140",2015,1,1708155,263087,1278055,6700,2183865
"141",2015,2,1712660,411265,1349173,4580,2157918
"142",2015,3,1818680,228661,1228893,6586,2156090
"143",2015,4,1490594,221590,1118027,3660,1785437
"144",2015,5,1667920,336555,1254652,5711,2172521
"145",2015,6,2296333,380699,1630868,7084,3055836
"146",2015,7,2021379,232468,1343455,6821,2782381
"147",2015,8,1819598,265792,1274603,11993,2244485
"148",2015,9,1176791,137043,786621,5968,1185164
"149",2015,10,1206011,109225,802697,3040,1194257
"150",2015,11,1358705,186950,981254,8740,1505055
"151",2015,12,1896130,326898,1287464,10102,2538922
"152",2016,1,1482987,201062,898816,5700,1533564
"153",2016,2,1277100,210953,1018818,4119,1484498
"154",2016,3,1493321,173779,1302715,7949,1883806
"155",2016,4,1287970,134966,893529,4833,1527439
"156",2016,5,1429722,224874,1025535,5808,1730775
"157",2016,6,2048146,307635,1364953,10938,2668568
"158",2016,7,2497902,424589,1872888,7017,3295331
"159",2016,8,2339274,278303,1637369,14526,2752268
"160",2016,9,1222274,145223,964077,4145,1331620
